Format,Division,Team 1,Team 2,Date,Day,Clock,Ground,Day,Comment
SL,QA,Helsfyr Ck,Nord BCk,04-May-24,Saturday,2:00 p.m.,Ekeberg 1,Saturday,Away
T20,Divisjon4,Helsfyr Ck,Haugenstua A Ck,13-May-24,Monday,5:30 p.m.,Ekeberg 3,Monday,Home
SL,QA,Helsfyr Ck,Asker Ck,18-May-24,Saturday,9:00 a.m.,Bærum,Saturday,Away
SL,QA,Helsfyr Ck,StrømmenIF B,20-May-24,Monday,1:00 p.m.,Ekeberg 1,Monday,Home
T20,Divisjon 4,Helsfyr Ck,Viking Ck,25-May-24,Saturday,5:00 p.m.,Ekeberg 1,Saturday,Home
T20,Divisjon4,Helsfyr Ck,Sandefjord B Ck,26-May-24,Sunday,1:00 p.m.,Sandefjord,Sunday,Away
SL,QA,Helsfyr Ck,Vestli C Ck,08-Jun-24,Saturday,9:00 a.m.,Ekeberg 2,Saturday,Home
SL,QA,Helsfyr Ck,Kringsja Ck,15-Jun-24,Saturday,9:00 a.m.,Stubberudmyra,Saturday,Home
SL,QA,Helsfyr Ck,Mortensrud CK,23-Jun-24,Sunday,2:00 p.m.,Rommen,Sunday,Away
T20,Divisjon4,Helsfyr Ck,HaugerudIF C,26-Jun-24,Wednesday,6:00 p.m.,Ekeberg 3,Wednesday,Home
SL,QA,Helsfyr Ck,Strømsø B CK,28-Jul-24,Sunday,3:00 p.m.,Drammen,Sunday,Away
T20,Divisjon 4,Helsfyr Ck,Moholt Ck,11-Aug-24,Sunday,9:00 a.m.,Trondheim,Sunday,Away
T20,Divisjon4,Helsfyr Ck,MASK B Ck,16-Aug-24,Friday,5:00 p.m.,Ekeberg 1,Friday,Home
T20,Divisjon4,Helsfyr Ck,Nordpolen Ck,23-Aug-24,Friday,5:00 p.m.,Ekeberg 3,Friday,Home
T20,Divisjon4,Helsfyr Ck,Asker Ck,29-Aug-24,Thursday,5:00 p.m.,Ekeberg 2,Thursday,Home
T20,Divisjon4,Helsfyr Ck,Nord B Ck,03-Sep-24,Tuesday,5:00 p.m.,Ekeberg 1,Tuesday,Home
SL,QA,Helsfyr Ck,Minhaj CK B,07-Sep-24,Saturday,9:00 a.m.,Stubberudmyra,Saturday,Away
